section	offset	size	unit	scope	name	demangled
.text	0x00000000	0x3C	em3d/em3d.cpp	global	_prolog	_prolog
.text	0x0000003C	0x4	em3d/em3d.cpp	global	_epilog	_epilog
.text	0x00000040	0x4	em3d/em3d.cpp	global	_unresolved	_unresolved
.text	0x00000044	0x84	em3d/em3d.cpp	global	setNoSuspend__5cEm3di	cEm3d::setNoSuspend
.text	0x000000C8	0x38	em3d/em3d.cpp	global	Em3dInit__FP3cEm	Em3dInit
.text	0x00000100	0x178	em3d/em3d.cpp	global	em3dDmCk__FP5cEm3d	em3dDmCk
.text	0x00000278	0x1B4	em3d/em3d.cpp	global	move__5cEm3d	cEm3d::move
.text	0x0000042C	0x370	em3d/em3d.cpp	local	em3d_R0_Init__FP5cEm3d	em3d_R0_Init
.text	0x0000079C	0x38	em3d/em3d.cpp	local	em3d_R0_Move__FP5cEm3d	em3d_R0_Move
.text	0x000007D4	0x3AC	em3d/em3d.cpp	local	em3d_R1_Patrol__FP5cEm3d	em3d_R1_Patrol
.text	0x00000B80	0x3DC	em3d/em3d.cpp	local	em3d_R1_TargetMove__FP5cEm3d	em3d_R1_TargetMove
.text	0x00000F5C	0x57C	em3d/em3d.cpp	local	em3d_R1_Atk__FP5cEm3d	em3d_R1_Atk
.text	0x000014D8	0x250	em3d/em3d.cpp	local	em3d_R1_WarpMove__FP5cEm3d	em3d_R1_WarpMove
.text	0x00001728	0x84	em3d/em3d.cpp	global	em3dRoterMove__FP5cEm3d	em3dRoterMove
.text	0x000017AC	0x878	em3d/em3d.cpp	global	em3dChainGunMove__FP5cEm3d	em3dChainGunMove
.text	0x00002024	0xA0	em3d/em3d.cpp	global	em3dHeliPitchMove__FP5cEm3d	em3dHeliPitchMove
.text	0x000020C4	0xAC	em3d/em3d.cpp	global	em3dVibMove__FP5cEm3d	em3dVibMove
.text	0x00002170	0x308	em3d/em3d.cpp	global	em3dGetTargetEm__FP5cEm3d	em3dGetTargetEm
.text	0x00002478	0xC8	em3d/em3d.cpp	global	em3dTargetEmUpdate__FP5cEm3d	em3dTargetEmUpdate
.text	0x00002540	0xEC	em3d/em3d.cpp	global	em3dRocketFire__FP5cEm3d	em3dRocketFire
.text	0x0000262C	0x18	em3d/em3d.cpp	global	ckSelectEnable__5cEm3d	cEm3d::ckSelectEnable
.text	0x00002644	0x34	em3d/em3d.cpp	global	setTarget__5cEm3dUlf	cEm3d::setTarget
.text	0x00002678	0x80	em3d/em3d.cpp	global	setTargetPos__5cEm3dUlP3Vecff	cEm3d::setTargetPos
.text	0x000026F8	0x18	em3d/em3d.cpp	global	ckMissileFire__5cEm3d	cEm3d::ckMissileFire
.text	0x00002710	0x10	em3d/em3d.cpp	global	setEmLocked__5cEm3d	cEm3d::setEmLocked
.text	0x00002720	0x28	em3d/em3d.cpp	global	setPatrolPos__5cEm3dP3Vec	cEm3d::setPatrolPos
.text	0x00002748	0x10	em3d/em3d.cpp	global	setFreeFire__5cEm3d	cEm3d::setFreeFire
.text	0x00002758	0x4	em3d/em3d.cpp	global	beginEvent__5cUnitUl	cUnit::beginEvent
.text	0x0000275C	0x4	em3d/em3d.cpp	global	endEvent__5cUnitUl	cUnit::endEvent
.text	0x00002760	0x20	em3d/em3d.cpp	global	_._5cEm3d	cEm3d::~cEm3d
.text	0x00002780	0x48	em3d/em3d.cpp	global	_._5cUnit	cUnit::~cUnit
.text	0x000027C8	0x4	em3d/em3d.cpp	global	__dl__5cUnitPvUi	cUnit::operator delete
.rodata	0x0000007C	0x10	em3d/em3d.cpp	local	lbl_em3d_rodata_7C	lbl_em3d_rodata_7C
.rodata	0x0000008C	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_8C	lbl_em3d_rodata_8C
.rodata	0x00000090	0x1C	em3d/em3d.cpp	local	lbl_em3d_rodata_90	lbl_em3d_rodata_90
.rodata	0x000000AC	0xC	em3d/em3d.cpp	local	ofs.438	ofs.438
.rodata	0x000000B8	0xC	em3d/em3d.cpp	local	size.439	size.439
.rodata	0x000000C4	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_C4	lbl_em3d_rodata_C4
.rodata	0x000000C8	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_C8	lbl_em3d_rodata_C8
.rodata	0x000000CC	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_CC	lbl_em3d_rodata_CC
.rodata	0x000000D0	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_D0	lbl_em3d_rodata_D0
.rodata	0x000000D4	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_D4	lbl_em3d_rodata_D4
.rodata	0x000000D8	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_D8	lbl_em3d_rodata_D8
.rodata	0x000000DC	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_DC	lbl_em3d_rodata_DC
.rodata	0x000000E0	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_E0	lbl_em3d_rodata_E0
.rodata	0x000000E4	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_E4	lbl_em3d_rodata_E4
.rodata	0x000000E8	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_E8	lbl_em3d_rodata_E8
.rodata	0x000000EC	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_EC	lbl_em3d_rodata_EC
.rodata	0x000000F0	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_F0	lbl_em3d_rodata_F0
.rodata	0x000000F4	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_F4	lbl_em3d_rodata_F4
.rodata	0x000000F8	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_F8	lbl_em3d_rodata_F8
.rodata	0x000000FC	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_FC	lbl_em3d_rodata_FC
.rodata	0x00000100	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_100	lbl_em3d_rodata_100
.rodata	0x00000104	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_104	lbl_em3d_rodata_104
.rodata	0x00000108	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_108	lbl_em3d_rodata_108
.rodata	0x0000010C	0x4	em3d/em3d.cpp	local	lbl_em3d_rodata_10C	lbl_em3d_rodata_10C
