section	offset	size	unit	scope	name	demangled
.text	0x00000000	0x3C	pl0f/pl0f.cpp	global	_prolog	_prolog
.text	0x0000003C	0x4	pl0f/pl0f.cpp	global	_epilog	_epilog
.text	0x00000040	0x4	pl0f/pl0f.cpp	global	_unresolved	_unresolved
.text	0x00000044	0x38	pl0f/pl0f.cpp	global	Pl0fInit__FP3cEm	Pl0fInit
.text	0x0000007C	0x24C	pl0f/pl0f.cpp	global	move__5cPl0f	cPl0f::move
.text	0x000002C8	0x9C	pl0f/pl0f.cpp	global	setTiller__5cPl0f	cPl0f::setTiller
.text	0x00000364	0x14	pl0f/pl0f.cpp	global	setTillerFront__5cPl0f	cPl0f::setTillerFront
.text	0x00000378	0xF8	pl0f/pl0f.cpp	global	setPos__5cPl0fP3Vecf	cPl0f::setPos
.text	0x00000470	0x3C4	pl0f/pl0f.cpp	local	pl0f_R0_Init__FP5cPl0f	pl0f_R0_Init
.text	0x00000834	0xE0	pl0f/pl0f.cpp	local	pl0f_R0_Move__FP5cPl0f	pl0f_R0_Move
.text	0x00000914	0xB8	pl0f/pl0f.cpp	local	pl0f_R1_Wait__FP5cPl0f	pl0f_R1_Wait
.text	0x000009CC	0x128	pl0f/pl0f.cpp	local	pl0f_R1_RideMove__FP5cPl0f	pl0f_R1_RideMove
.text	0x00000AF4	0x130	pl0f/pl0f.cpp	local	pl0f_R1_RideStart__FP5cPl0f	pl0f_R1_RideStart
.text	0x00000C24	0x228	pl0f/pl0f.cpp	local	pl0f_R1_BossMove__FP5cPl0f	pl0f_R1_BossMove
.text	0x00000E4C	0x1D0	pl0f/pl0f.cpp	local	pl0f_R1_Guard__FP5cPl0f	pl0f_R1_Guard
.text	0x0000101C	0x2C4	pl0f/pl0f.cpp	local	pl0f_R1_Drop__FP5cPl0f	pl0f_R1_Drop
.text	0x000012E0	0x11C	pl0f/pl0f.cpp	local	pl0f_R1_WaterRide__FP5cPl0f	pl0f_R1_WaterRide
.text	0x000013FC	0xE8	pl0f/pl0f.cpp	local	pl0f_R1_BossGuard__FP5cPl0f	pl0f_R1_BossGuard
